step,loss,manual_loss,ctds_loss,ctds_pinn_loss,ctds_component_bal_loss,modal_loss,effective_modal_loss_weight,resample_count,lr_drift,lr_free_energy,lr_potential,lr_energy_model,ess_count,w2,weighted_w2,mmd,drift_grad_norm,free_energy_grad_norm,potential_grad_norm,energy_model_grad_norm,total_grad_norm,beta_max
0,60000.1015625,60000.1015625,nan,nan,nan,0.21786275506019592,0.0,0,0.0001,0.0001,0.0,0.0,1.0,nan,nan,0.014072299003601074,4810846.63262341,195.05877874637196,0.0,0.0,4810846.6365778,nan
1,44016.32421875,44016.32421875,nan,nan,nan,0.3339187502861023,0.0,2,0.0001,0.0001,0.0,0.0,0.11692816019058228,nan,nan,0.022133469581604004,9244757.988488859,172.83602870986303,0.0,0.0,9244757.990104493,nan
2,34699.75390625,34699.75390625,nan,nan,nan,1.3956011533737183,0.0,2,0.0001,0.0001,0.0,0.0,0.322517454624176,nan,nan,0.1491086483001709,9333992.9449302,188.76268194265592,0.0,0.0,9333992.946838886,nan
3,25036.51953125,25036.51953125,nan,nan,nan,9.173844337463379,0.0,2,0.0001,0.0001,0.0,0.0,0.38926538825035095,nan,nan,0.32360148429870605,2080271.5211959814,132.99766833359118,0.0,0.0,2080271.5254474408,nan
4,22462.427734375,22462.427734375,nan,nan,nan,13.999320983886719,0.0,4,0.0001,0.0001,0.0,0.0,0.04033757746219635,nan,nan,0.16454601287841797,1476459.8761175529,148.40132037051382,0.0,0.0,1476459.8835755787,nan
5,24360.94921875,24360.94921875,nan,nan,nan,11.973845481872559,0.0,3,0.0001,0.0001,0.0,0.0,0.07695937156677246,nan,nan,0.3722723722457886,3016554.381123716,85.53494530742941,0.0,0.0,3016554.3823363953,nan
6,29523.8671875,29523.8671875,nan,nan,nan,21.23409080505371,0.0,4,0.0001,0.0001,0.0,0.0,0.050159625709056854,nan,nan,0.3521612882614136,6847325.147750954,6.5837693897631855,0.0,0.0,6847325.147754119,nan
7,33229.48828125,33229.48828125,nan,nan,nan,12.539796829223633,0.0,5,0.0001,0.0001,0.0,0.0,0.15796028077602386,nan,nan,0.36445415019989014,7830943.318831321,67.49837810549938,0.0,0.0,7830943.319122219,nan
8,40115.8359375,40115.8359375,nan,nan,nan,21.23409080505371,0.0,4,0.0001,0.0001,0.0,0.0,0.055438559502363205,nan,nan,0.3430914878845215,10066067.381470531,53.59403359311875,0.0,0.0,10066067.381613204,nan
9,30090.73828125,30090.73828125,nan,nan,nan,21.233333587646484,0.0,5,0.0001,0.0001,0.0,0.0,0.07443610578775406,nan,nan,0.3332023620605469,5625430.496419279,58.97872936521477,0.0,0.0,5625430.496728455,nan
