step,loss,ess
0,1375.332275390625,0.5320445895195007
100,1915.655029296875,0.22528089582920074
200,2207.2255859375,0.0194380022585392
300,2237.346435546875,0.0008859799709171057
400,2717.869140625,9.79710250703647e-08
500,2571.4091796875,1.1078238770778626e-08
600,2544.744384765625,5.345244732946064e-11
700,2355.907470703125,6.182255228581734e-13
800,2380.50341796875,1.1238436532301846e-14
900,2225.532958984375,1.799058378696308e-20
1000,2085.629638671875,1.987393308176889e-21
1100,2158.786865234375,2.5168313823427253e-25
1200,2250.76025390625,1.9052472623438398e-30
1300,1968.8284912109375,1.4012983208318543e-35
1400,1541.9703369140625,6.289727497097361e-31
1500,1823.5765380859375,0.0
1600,1411.62548828125,0.0
1700,1670.875244140625,0.0
1800,1496.2012939453125,0.0
1900,1076.7984619140625,0.0
2000,1845.9208984375,0.0
2100,1017.64501953125,0.0
2200,1116.909912109375,0.0
2300,988.7234497070312,0.0
2400,793.3785400390625,0.0
2500,783.9888916015625,0.0
2600,1191.807861328125,0.0
2700,890.2769165039062,0.0
2800,1109.3421630859375,0.0
2900,699.8150634765625,0.0
3000,502.4849853515625,0.0
3100,562.2801513671875,0.0
3200,295.8179016113281,0.0
3300,376.6608581542969,0.0
3400,273.0281066894531,0.0
3500,225.51953125,0.0
3600,387.7737731933594,3.2283057723186545e-25
3700,269.01312255859375,9.668958987711646e-34
3800,258.2566833496094,5.243658130585919e-32
3900,267.41253662109375,2.858648712250227e-33
4000,219.6938018798828,8.305104446524721e-17
4100,158.480712890625,2.8775194042769084e-23
4200,180.4542694091797,2.7715007819653116e-14
4300,154.4004364013672,1.2149981216119818e-17
4400,140.29873657226562,1.246430581224858e-14
4500,1527.0802001953125,4.652913503377931e-06
4600,148.94557189941406,1.007434358157866e-09
4700,204.6902618408203,1.6562900384542445e-08
4800,1746.4896240234375,0.002965514315292239
4900,3194.20166015625,0.015601683408021927
